#,Sección,Subsección,Test Case,Estado,Fecha Completada,Notas,Bug ID
1,1. Authentication,1.1 Sign Up Flow,Navigate to /auth/signup - Sign up page loads correctly,Completado,09/02/26,,
2,1. Authentication,1.1 Sign Up Flow,Enter valid email - Email field accepts input,Completado,09/02/26,,
3,1. Authentication,1.1 Sign Up Flow,Enter password (min 8 chars) - Password field accepts input,Completado,09/02/26,,
4,1. Authentication,1.1 Sign Up Flow,Click Sign Up button - Redirects to dashboard or requires email verification,Completado,09/02/26,,
5,1. Authentication,1.1 Sign Up Flow,Try duplicate email - Error message displayed,Completado,09/02/26,,
6,1. Authentication,1.2 Sign In Flow,Navigate to /auth/signin - Sign in page loads,Completado,09/02/26,,
7,1. Authentication,1.2 Sign In Flow,Enter valid credentials - Fields accept input,Completado,09/02/26,,
8,1. Authentication,1.2 Sign In Flow,Enter incorrect password - Error: 'Invalid credentials',Completado,09/02/26,,
9,1. Authentication,1.2 Sign In Flow,Enter non-existent email - Error: 'User not found',Completado,09/02/26,,
10,1. Authentication,1.2 Sign In Flow,Click Sign In with correct credentials - Redirects to dashboard /,Completado,09/02/26,,
11,1. Authentication,1.2 Sign In Flow,Click Sign Out - Redirects to sign in page,Completado,09/02/26,,
12,1. Authentication,1.3 Session Persistence,Sign in successfully - Session created,Completado,09/02/26,,
13,1. Authentication,1.3 Session Persistence,Close browser tab and reopen - Automatically signed in,Completado,09/02/26,,
14,1. Authentication,1.3 Session Persistence,Navigate to /auth/signin while logged in - Redirects to dashboard,Completado,09/02/26,,
15,2. Dashboard,2.1 Dashboard Load,Sign in as any user - Redirects to /,Completado,09/02/26,,
16,2. Dashboard,2.1 Dashboard Load,Check page title - Shows 'AltiTeam' or dashboard title,Completado,09/02/26,,
17,2. Dashboard,2.1 Dashboard Load,Verify navigation elements - Sidebar/header visible,Completado,09/02/26,,
18,2. Dashboard,2.1 Dashboard Load,Check for welcome message - Shows user name,Completado,09/02/26,,
19,2. Dashboard,2.2 Dashboard Content,View dashboard - Shows user's organizations/projects/tasks,Completado,09/02/26,,
20,2. Dashboard,2.2 Dashboard Content,Click on a project card - Navigates to project details,Completado,09/02/26,,
21,2. Dashboard,2.2 Dashboard Content,Click on a task - Opens task details modal/page,Completado,09/02/26,,
22,3. Organization,3.1 Create Organization (via Chat),Type 'Create a new organization called TestOrg' - AI acknowledges,Pendiente,10/02/26,,
23,3. Organization,3.1 Create Organization (via Chat),Confirm creation - Organization created,Pendiente,10/02/26,,
24,3. Organization,3.1 Create Organization (via Chat),Type 'Show my organizations' - Lists organizations,Pendiente,,,
25,3. Organization,3.2 Organization Details,Navigate to /organizations - Shows organization list,Completado,10/02/26,,
26,3. Organization,3.2 Organization Details,Click on an organization - Opens details page,Completado,10/02/26,,
27,3. Organization,3.2 Organization Details,Verify organization name - Name displayed correctly,Completado,10/02/26,,
28,3. Organization,3.2 Organization Details,Check member count - Shows member count,Completado,11/02/26,,
29,3. Organization,3.2 Organization Details,Check projects count - Shows project count,Completado,12/02/26,,
30,3. Organization,3.3 Organization Settings,Navigate to /organizations/[id]/settings - Settings page loads,Completado,12/02/26,,
31,3. Organization,3.3 Organization Settings,Update organization name - Name updates,Completado,12/02/26,,
32,3. Organization,3.3 Organization Settings,Try invalid name - Error message shown,Completado,12/02/26,,
33,3. Organization,3.3 Organization Settings,"Delete organization - Confirmation dialog, then deletion",Completado,12/02/26,,
34,4. Project,4.1 Create Project (via Chat),Type 'Create a new project called TestProject' - AI prompts for details,Pendiente,,,
35,4. Project,4.1 Create Project (via Chat),Provide description and dates - Project created,Pendiente,,,
36,4. Project,4.1 Create Project (via Chat),Type 'List projects' - Shows new project,Pendiente,,,
37,4. Project,4.2 Project Details,Navigate to /projects - Projects list loads,Completado,12/02/26,,
38,4. Project,4.2 Project Details,Click on a project - Project details page,Completado,12/02/26,,
39,4. Project,4.2 Project Details,Verify project name - Name displayed,Completado,12/02/26,,
40,4. Project,4.2 Project Details,Check description - Description visible,Completado,12/02/26,,
41,4. Project,4.2 Project Details,Check tasks count - Shows task count,Completado,12/02/26,,
42,4. Project,4.3 Project Analytics,Navigate to /projects/[id]/analytics - Analytics page loads,Completado,12/02/26,,
43,4. Project,4.3 Project Analytics,Check progress bar - Shows completion percentage,Completado,12/02/26,,
44,4. Project,4.3 Project Analytics,View task distribution - Chart/visualization visible,Completado,12/02/26,,
45,4. Project,4.3 Project Analytics,Check completion trends - Timeline/graph shown,Completado,12/02/26,,
46,4. Project,4.4 Project Settings,Navigate to /projects/[id]/settings - Settings page loads,Completado,12/02/26,,
47,4. Project,4.4 Project Settings,Update project name - Name updates,Completado,12/02/26,,
48,4. Project,4.4 Project Settings,Change description - Description updates,Completado,12/02/26,,
49,4. Project,4.4 Project Settings,Change dates - Dates update correctly,Completado,12/02/26,,
50,4. Project,4.4 Project Settings,"Delete project - Confirmation, then deletion",Completado,12/02/26,,
51,4. Project,4.5 Project Templates,Type 'Create project from template' - Shows template options,Pendiente,,,
52,4. Project,4.5 Project Templates,Select a template - Project pre-filled with template,Pendiente,,,
53,4. Project,4.5 Project Templates,Navigate to /templates - Template list visible,Pendiente,,,
54,5. Task,5.1 Create Task (via Chat),Type 'Create a task called TestTask' - AI prompts for details,Pendiente,,,
55,5. Task,5.1 Create Task (via Chat),Set priority to high - Priority set,Pendiente,,,
56,5. Task,5.1 Create Task (via Chat),Set status to todo - Status set,Pendiente,,,
57,5. Task,5.1 Create Task (via Chat),Assign to user - Assignment set,Pendiente,,,
58,5. Task,5.1 Create Task (via Chat),Confirm creation - Task created,Pendiente,,,
59,5. Task,5.2 Task Details,Navigate to /tasks/[id] - Task details page loads,Completado,12/02/26,,
60,5. Task,5.2 Task Details,Verify task name - Name displayed correctly,Completado,12/02/26,,
61,5. Task,5.2 Task Details,Check priority badge - Color matches priority,Completado,12/02/26,,
62,5. Task,5.2 Task Details,Check status badge - Color matches status,Completado,12/02/26,,
63,5. Task,5.2 Task Details,Check assignee - Assigned user shown,Completado,12/02/26,,
64,5. Task,5.3 Update Task,Change status to 'in-progress' - Status updates,Completado,12/02/26,,
65,5. Task,5.3 Update Task,Change priority to 'urgent' - Priority updates,Completado,12/02/26,,
66,5. Task,5.3 Update Task,Add comment - Comment appears,Completado,12/02/26,,
67,5. Task,5.3 Update Task,Change assignee - New assignee shown,Completado,12/02/26,,
68,5. Task,5.4 Task List (via Chat),Type 'Show my tasks' - Lists assigned tasks,Pendiente,,,
69,5. Task,5.4 Task List (via Chat),Type 'Show tasks in TestProject' - Lists project tasks,Pendiente,,,
70,5. Task,5.4 Task List (via Chat),Type 'Search tasks for bug' - Searches task titles,Pendiente,,,
71,5. Task,5.5 Batch Operations (via Chat),"Type 'Update tasks task1, task2 to done' - Multiple tasks updated",Pendiente,,,
72,5. Task,5.5 Batch Operations (via Chat),Type 'Assign task1 and task2 to user' - Tasks reassigned,Pendiente,,,
73,6. Team,6.1 Create Team (via Chat),Type 'Create a new team called Development' - AI prompts for details,Pendiente,,,
74,6. Team,6.1 Create Team (via Chat),Confirm creation - Team created,Pendiente,,,
75,6. Team,6.1 Create Team (via Chat),Type 'List teams' - Shows team list,Pendiente,,,
76,6. Team,6.2 Team Members,Type 'Add user@example.com to Development' - Member added,Pendiente,,,
77,6. Team,6.2 Team Members,Type 'Remove user@example.com from Development' - Member removed,Pendiente,,,
78,6. Team,6.2 Team Members,Type 'Show Development team members' - Lists members with roles,Pendiente,,,
79,6. Team,6.3 Team Roles,Type 'Update user@example.com role to admin' - Role updated,Pendiente,,,
80,6. Team,6.3 Team Roles,Type 'List teams' - Teams visible,Pendiente,,,
81,7. Department,7.1 Create Department (via Chat),Type 'Create a department called Engineering' - Department created,Pendiente,,,
82,7. Department,7.1 Create Department (via Chat),Type 'Create a sub-department called Frontend under Engineering' - Sub-department created,Pendiente,,,
83,7. Department,7.2 Department Hierarchy,Type 'Show department hierarchy' - Tree structure shown,Pendiente,,,
84,7. Department,7.2 Department Hierarchy,Type 'List all departments' - Flat list shown,Pendiente,,,
85,8. Process,8.1 Create Process (via Chat),Type 'Create a process called Code Review' - AI prompts for steps,Pendiente,,,
86,8. Process,8.1 Create Process (via Chat),"Add steps: Review, Approve, Merge - Process created",Pendiente,,,
87,8. Process,8.2 Execute Process,Type 'Start process Code Review' - Execution started,Pendiente,,,
88,8. Process,8.2 Execute Process,Type 'Complete first step' - Step marked done,Pendiente,,,
89,8. Process,8.2 Execute Process,Type 'Show process execution status' - Shows current step,Pendiente,,,
90,8. Process,8.3 Process Analytics,Navigate to /processes/[id]/analytics - Analytics page loads,Pendiente,,,
91,8. Process,8.3 Process Analytics,Check completion rate - Percentage shown,Pendiente,,,
92,8. Process,8.3 Process Analytics,Check average duration - Time shown,Pendiente,,,
93,9. Resource,9.1 Create Resource (via Chat),Type 'Add a link resource called Documentation' - Resource created,Pendiente,,,
94,9. Resource,9.1 Create Resource (via Chat),Provide URL - Link saved,Pendiente,,,
95,9. Resource,9.1 Create Resource (via Chat),Type 'Add a file resource' - File upload prompt,Pendiente,,,
96,9. Resource,9.2 Resource List,Type 'List resources for TestProject' - Shows all resources,Pendiente,,,
97,9. Resource,9.2 Resource List,Click a resource link - Opens in new tab,Pendiente,,,
98,9. Resource,9.3 Delete Resource,Type 'Delete resource Documentation' - Resource removed,Pendiente,,,
99,10. Member & Invitation,10.1 Invite Member (via Chat),Type 'Invite user@example.com to TestOrg' - Invitation sent,Pendiente,,,
100,10. Member & Invitation,10.1 Invite Member (via Chat),Type 'List pending invitations' - Shows pending invites,Pendiente,,,
101,10. Member & Invitation,10.1 Invite Member (via Chat),Type 'Cancel invitation for user@example.com' - Invitation cancelled,Pendiente,,,
102,10. Member & Invitation,10.2 Member Management,Type 'Update user@example.com role to viewer' - Role updated,Pendiente,,,
